title,news_link,news_date
dito mahendra,https://www.detik.com/tag/dito-mahendra,
mario dandy,https://www.detik.com/tag/mario-dandy,
putri ariani,https://www.detik.com/tag/putri-ariani,
gempa maroko,https://www.detik.com/tag/gempa-maroko,
timnas indonesia u-23,https://www.detik.com/tag/timnas-indonesia-u_23,
Oknum TNI Lawan Arah Picu Tabrakan Beruntun di Tol MBZ Dirawat di RS,https://news.detik.com/berita/d-6923387/oknum-tni-lawan-arah-picu-tabrakan-beruntun-di-tol-mbz-dirawat-di-rs,"Minggu, 10 Sep 2023 14:24 WIB"
Kondisi Oknum TNI di RS Usai Lawan Arah Picu Tabrakan Beruntun di Tol MBZ,https://news.detik.com/berita/d-6923460/kondisi-oknum-tni-di-rs-usai-lawan-arah-picu-tabrakan-beruntun-di-tol-mbz,"Minggu, 10 Sep 2023 15:34 WIB"
Gerindra Copot Ketua DPC Semarang Buntut Pemukulan ke Kader PDIP,https://news.detik.com/pemilu/d-6923439/gerindra-copot-ketua-dpc-semarang-buntut-pemukulan-ke-kader-pdip,"Minggu, 10 Sep 2023 15:10 WIB"
PDIP Respons PKS: Politik Identitas Disampaikan Orang Tak Punya Prestasi,https://news.detik.com/pemilu/d-6923372/pdip-respons-pks-politik-identitas-disampaikan-orang-tak-punya-prestasi,"Minggu, 10 Sep 2023 14:13 WIB"
"Dirangkul Macron, Jokowi: You Are The Most Popular After G20 Summit Bali",https://news.detik.com/berita/d-6923344/dirangkul-macron-jokowi-you-are-the-most-popular-after-g20-summit-bali,"Minggu, 10 Sep 2023 13:54 WIB"
"Ganjar Pranowo Muncul di Tayangan Azan Stasiun TV, Ini Kata PDIP",https://news.detik.com/pemilu/d-6921878/ganjar-pranowo-muncul-di-tayangan-azan-stasiun-tv-ini-kata-pdip,
Sudirman Said: Anies Tak Punya Daya Putuskan yang Sudah Jadi Pilihannya,https://news.detik.com/pemilu/d-6913131/sudirman-said-anies-tak-punya-daya-putuskan-yang-sudah-jadi-pilihannya,
Said Aqil soal Cak Imin Diperiksa KPK: Anak SD Juga Paham,https://news.detik.com/berita/d-6921049/said-aqil-soal-cak-imin-diperiksa-kpk-anak-sd-juga-paham,
